,c1,c2,resume_skill_text
324,50.824238,48.005043,258
325,42.97153,-23.073908,operator
326,50.078762,47.96919,259
327,2.1531034,-19.389854,name
328,44.778828,38.438885,260
329,-1.6583362,-37.624413,disclosed
330,51.900036,48.515278,261
331,51.111126,48.08437,262
332,13.48278,-29.393114,need
333,51.50734,48.675434,263
334,34.507057,-33.798344,segment
335,51.58436,48.752075,264
336,44.651024,-21.100895,customers
337,46.59627,40.300247,265
338,41.58976,-54.661198,visit
339,53.052505,49.016537,266
340,51.063267,-23.671377,property
341,53.12911,48.97321,267
342,53.120686,49.81387,268
343,53.49773,49.642117,269
344,26.804249,-59.979393,patrons
345,45.388737,38.637733,270
346,17.271564,-35.888103,bring
347,53.384727,49.861202,271
348,54.169308,50.253544,272
349,0.5209835,-29.668774,prove
350,53.854588,49.840427,273
351,-18.24922,11.540544,segmentation
352,54.511597,51.167534,274
353,9.132783,-34.153027,done
354,45.093582,39.314537,275
355,11.769071,-33.387993,much
356,54.224026,50.325638,276
357,10.923691,-34.87412,better
358,53.596462,50.72733,277
359,12.148252,-33.97437,way
360,53.29177,50.705994,278
361,6.67535,-23.025772,current
362,53.47098,51.27016,279
363,5.06628,-0.3487132,system
364,44.544384,38.748787,280
365,-6.9511647,-25.16143,proper
366,52.895008,51.21773,281
367,66.43434,-9.572715,numbers
368,53.210697,50.593895,282
369,22.1713,-34.801033,back
370,53.12324,50.810574,283
371,53.13867,50.67186,284
372,-16.791752,-23.46586,implement
373,44.93808,43.34168,285
374,20.249678,-66.063675,target
375,52.458233,49.90038,286
376,22.84048,-0.7464894,marketing
377,52.3068,50.848675,287
378,-16.865261,-31.024744,strategy
379,51.089363,49.743,288
380,8.185827,-52.615223,attract
381,54.74913,48.897114,289
382,44.382786,39.25137,290
383,15.479253,-36.766247,add
384,50.72154,50.060917,291
385,50.364895,49.767517,292
386,50.154266,49.837513,293
387,49.974403,49.62754,294
388,44.709103,43.68654,295
389,49.721096,49.194405,296
390,49.799137,49.360058,297
391,49.727154,49.07706,298
392,49.165173,45.13364,299
393,43.081573,34.719563,300
394,51.28052,52.96008,301
395,50.82857,52.66426,302
396,50.130768,52.193268,303
397,50.1261,51.95363,304
398,45.4465,44.591244,305
399,50.29579,51.67953,306
400,50.4371,51.843502,307
401,50.418148,50.944298,308
402,49.121265,51.101852,309
403,44.026752,39.41408,310
404,49.407784,50.473076,311
405,48.6656,50.583035,312
406,48.68086,50.73242,313
407,48.69738,52.139492,314
408,44.9681,44.389694,315
409,48.78819,53.412952,316
410,49.059097,51.825512,317
411,48.382305,52.030094,318
412,49.22037,52.585262,319
413,43.8569,38.80386,320
414,50.35406,54.04047,321
415,48.260685,53.49617,322
416,47.32344,50.7831,323
417,47.210827,52.89209,324
418,44.387424,41.244457,325
419,47.26061,51.520718,326
420,47.327923,51.758675,327
421,3.1447175,68.83298,2018
422,48.380596,54.818855,328
423,49.219707,48.433113,329
424,43.186684,39.38329,330
425,47.531723,50.209,331
426,47.244568,50.88135,332
427,47.722878,51.82717,333
428,47.69423,51.625538,334
429,45.43257,43.52703,335
430,47.043755,50.894123,336
431,50.28811,54.03034,337
432,48.46328,43.116035,338
433,46.584064,51.66685,339
434,43.379974,39.41846,340
435,46.39266,52.17383,341
436,46.508377,52.301785,342
437,45.62852,51.38418,343
438,45.325253,52.006912,344
439,43.307472,43.155167,345
440,45.61702,51.772636,346
441,45.11062,52.080734,347
442,44.90393,52.26389,348
443,48.103592,48.89693,349
444,42.75032,35.53485,350
445,47.698826,48.038742,351
446,45.84878,52.02405,352
447,45.701912,52.258595,353
448,45.683807,46.543427,354
449,45.62752,46.436275,355
450,46.33925,50.731293,356
451,44.657166,51.370167,357
452,44.570057,51.613873,358
453,45.277588,50.67255,359
454,44.070312,37.276398,360
455,46.35002,49.029823,361
456,46.17367,49.26845,362
457,46.20042,49.203964,363
458,45.885105,49.409046,364
459,45.68019,47.990765,365
460,45.626255,49.89481,366
461,47.233826,53.667454,367
462,46.21615,53.5545,368
463,45.59839,53.70208,369
464,43.46247,38.406384,370
465,44.06835,54.491837,371
466,46.598434,53.942535,372
467,43.917496,53.095562,373
468,44.631245,53.189373,374
469,44.3018,41.18758,375
470,44.78612,53.413742,376
471,44.568203,53.145645,377
472,44.805954,53.494568,378
473,44.865044,54.04383,379
474,43.153305,39.743042,380
475,47.64769,55.005005,381
476,45.11843,53.662533,382
477,45.4382,54.469906,383
478,46.500927,54.85426,384
479,42.456932,41.86563,385
480,48.368362,57.43421,386
481,44.791523,54.304665,387
482,45.57906,54.357975,388
483,45.843903,52.94419,389
484,42.49066,41.29299,390
485,44.63684,55.193424,391
486,46.111412,57.271484,392
487,44.296474,56.19203,393
488,-30.337551,-4.595984,analysing
489,44.407852,55.70176,394
490,-56.96502,-38.40704,historic
491,42.405407,45.361702,395
492,-5.7601447,-47.34209,deals
493,44.904743,55.899227,396
494,18.832602,-35.1176,coming
495,43.817825,54.710804,397
496,-31.746504,-26.61176,insights
497,43.531757,54.884247,398
498,-13.566365,6.6403565,optimize
499,38.116337,47.771828,399
500,1.7990677,-38.76882,future
501,42.792793,34.561646,400
502,42.016502,48.557926,401
503,43.058285,49.42967,402
504,42.19175,48.90875,403
505,7.675798,-23.391384,given
506,43.03171,49.30714,404
507,41.67075,-13.187781,raw
508,42.035076,46.015007,405
509,11.4064,-18.924128,data
510,43.046486,50.55253,406
511,34.384693,2.4091585,carried
512,42.440212,50.546024,407
513,26.264994,-43.194546,end
514,42.613518,51.85219,408
515,43.690495,50.695324,409
516,-33.723057,-2.6228561,analysis
517,42.670845,41.183254,410
518,-15.363609,-51.169827,presented
519,42.226772,51.75183,411
520,42.336514,50.602493,412
521,6.361171,-53.860588,client
522,42.865204,52.259434,413
523,43.910793,51.762966,414
524,41.50874,46.405006,415
525,44.432655,50.343746,416
526,43.748474,51.727318,417
527,43.647854,53.038696,418
528,5.1057873,-0.33802405,systems
529,43.203243,53.344017,419
530,34.244534,-39.279064,across
531,42.45364,39.790188,420
532,-17.956745,17.384754,geographies
533,41.467983,52.800415,421
534,41.38639,52.906807,422
535,0.74710166,6.2807918,build
536,41.503853,53.260822,423
537,4.263153,-59.7402,reports
538,41.95903,53.830574,424
539,-11.159853,14.25953,tableau
540,48.045403,42.90382,425
541,42.473625,54.11962,426
542,-12.163202,-44.60231,meaningful
543,58.62154,47.83374,427
544,42.133415,54.060005,428
545,42.10956,53.59044,429
546,62.280884,-22.539923,prices
547,40.827454,40.342014,430
548,14.338624,-27.255255,find
549,41.105434,54.02371,431
550,-8.086532,-15.372814,process
551,41.266926,53.86004,432
552,22.935238,-14.16546,blockades
553,40.67445,51.672813,433
554,40.46787,51.506298,434
555,44.579197,44.66435,435
556,42.08388,55.830788,436
557,40.89947,54.821445,437
558,43.82627,56.78638,438
559,42.441624,55.593536,439
560,41.198368,39.078423,440
561,39.923134,53.39201,441
562,39.97242,54.028694,442
563,39.59848,53.389683,443
564,44.480446,48.427364,444
565,39.512066,53.596348,445
566,-6.1391187,-29.557398,recognition
567,39.855972,54.14767,446
568,39.502636,52.57141,447
569,40.47092,54.857708,448
570,20.621065,-35.9538,taking
571,40.100533,54.50746,449
572,-28.49053,-10.308524,handwritten
573,42.199234,35.749157,450
574,-38.437572,-39.435574,images
575,43.482952,55.91081,451
576,61.703712,-46.64167,converting
577,39.27509,55.23753,452
578,-42.22337,-46.011616,digital
579,39.38729,55.56558,453
580,-43.16017,-39.325638,text
581,45.257343,56.346283,454
582,44.106754,45.76283,455
583,-32.959442,-38.070457,object
584,40.659637,55.96866,456
585,39.159164,54.954624,457
586,0.23994488,-55.467148,sentence
587,41.463726,56.428555,458
588,-6.3570576,-22.592607,creation
589,40.903057,56.121048,459
590,40.820717,40.613922,460
591,-19.87128,-33.994858,developing
592,40.2119,55.93941,461
593,40.210827,55.608845,462
594,10.858852,12.087353,correction
595,40.220387,56.066696,463
596,-24.305458,10.193787,functionality
597,40.167793,56.299854,464
598,40.538235,43.945538,465
599,39.70334,56.466255,466
600,39.93324,56.481766,467
601,39.60258,56.359932,468
602,22.728237,-20.91335,large
603,40.032692,57.164654,469
604,14.224598,-29.948215,enough
605,40.461983,40.743725,470
606,40.147156,-61.419712,capture
607,40.99979,57.996872,471
608,40.17602,57.72321,472
609,3.1799963,-19.390772,words
610,39.98252,57.8731,473
611,39.764473,58.159542,474
612,39.286636,43.22534,475
613,-7.414451,-13.895987,models
614,40.353622,58.468452,476
615,39.89355,57.565002,477
616,41.024174,58.027763,478
617,40.443806,60.949234,479
618,39.54068,40.045433,480
619,38.783478,58.874557,481
620,38.792442,58.9438,482
621,38.474174,59.065647,483
622,38.996044,58.946796,484
623,46.147987,57.38387,485
624,48.383556,57.522976,486
625,-19.153076,-34.42127,development
626,39.253864,56.92981,487
627,39.21584,60.79546,488
628,39.213234,61.206184,489
629,38.679676,41.71995,490
630,40.08256,60.26439,491
631,-19.897358,-33.970814,develop
632,39.320778,59.390133,492
633,-27.348944,3.6423645,analytics
634,40.392696,60.954784,493
635,6.419525,4.59711,infrastructure
636,39.944977,59.38582,494
637,65.29953,-37.40031,top
638,42.458942,44.954704,495
639,39.29652,60.6941,496
640,39.01113,61.597984,497
641,42.03541,57.09638,498
642,14.237373,-31.24391,would
643,37.98709,47.779247,499
644,8.364432,3.0592887,user
645,42.889034,34.34777,500
646,-5.0246243,-33.78184,view
647,41.133846,61.06468,501
648,52.460194,-30.475477,financial
649,42.69699,61.141617,502
650,42.898514,60.647724,503
651,6.4567323,-13.673045,respective
652,43.0455,60.295727,504
653,4.3420115,-64.12929,departments
654,42.982327,60.17021,505
655,43.056107,60.317543,506
656,8.836785,-21.757294,included
657,43.08456,60.464184,507
658,43.62034,60.367657,508
659,45.535706,1.8753471,expenses
660,43.965576,59.516125,509
661,38.499382,42.16104,510
662,25.26124,-39.00279,leading
663,42.42892,59.17272,511
664,39.530838,9.600962,offshore
665,52.684593,34.541164,512
666,42.315372,58.92853,513
667,39.163548,61.17255,514
668,38.005363,54.76858,515
669,37.29984,55.10236,516
670,35.327515,54.549706,517
671,35.850853,55.198185,518
672,4.335227,-59.72517,reporting
673,36.30945,55.46166,519
674,38.44813,42.33611,520
